"signature_date";"system_object_id";"global_id";"ALFA3";"SHORTNAME";"FULLNAME";"ALFA2";"CODE";
"21.09.2016 15:32:04";"784";"273330142";"ARE";"ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ";"";"AE";"784";
"21.09.2016 15:33:08";"788";"273330143";"TUN";"ТУНИС";"Тунисская Республика";"TN";"788";
"21.09.2016 15:33:09";"792";"273330144";"TUR";"ТУРЦИЯ";"Турецкая Республика";"TR";"792";
"21.09.2016 15:33:10";"795";"273330145";"TKM";"ТУРКМЕНИЯ";"Туркменистан";"TM";"795";
"21.09.2016 15:33:11";"796";"273330146";"TCA";"ОСТРОВА ТЕРКС И КАЙКОС";"";"TC";"796";
"21.09.2016 15:33:12";"798";"273330147";"TUV";"ТУВАЛУ";"";"TV";"798";
"21.09.2016 15:33:13";"800";"273330148";"UGA";"УГАНДА";"Республика Уганда";"UG";"800";
"21.09.2016 15:33:15";"804";"273330149";"UKR";"УКРАИНА";"";"UA";"804";
"21.09.2016 15:33:16";"807";"273330150";"MKD";"РЕСПУБЛИКА МАКЕДОНИЯ";"";"MK";"807";
"21.09.2016 15:33:17";"818";"273330151";"EGY";"ЕГИПЕТ";"Арабская Республика Египет";"EG";"818";
"21.09.2016 15:33:17";"826";"273330152";"GBR";"СОЕДИНЕННОЕ КОРОЛЕВСТВО";"Соединенное Королевство Великобритании и Северной Ирландии";"GB";"826";
"21.09.2016 15:34:20";"831";"273330153";"GGY";"ГЕРНСИ";"";"GG";"831";
"21.09.2016 15:34:23";"832";"273330154";"JEY";"ДЖЕРСИ";"";"JE";"832";
"21.09.2016 15:34:23";"833";"273330155";"IMN";"ОСТРОВ МЭН";"";"IM";"833";
"21.09.2016 15:34:22";"840";"273330156";"USA";"СОЕДИНЕННЫЕ ШТАТЫ";"Соединенные Штаты Америки";"US";"840";
"21.09.2016 15:34:22";"850";"273330157";"VIR";"ВИРГИНСКИЕ ОСТРОВА, США";"Виргинские острова Соединенных Штатов";"VI";"850";
"21.09.2016 15:34:21";"854";"273330158";"BFA";"БУРКИНА-ФАСО";"";"BF";"854";
"21.09.2016 15:34:21";"858";"273330159";"URY";"УРУГВАЙ";"Восточная Республика Уругвай";"UY";"858";
"21.09.2016 15:35:07";"860";"273330160";"UZB";"УЗБЕКИСТАН";"Республика Узбекистан";"UZ";"860";
"21.09.2016 15:35:09";"862";"273330161";"VEN";"ВЕНЕСУЭЛА, БОЛИВАРИАНСКАЯ РЕСПУБЛИКА";"Боливарианская Республика Венесуэла";"VE";"862";
"21.09.2016 15:35:10";"882";"273330162";"WSM";"САМОА";"Независимое Государство Самоа";"WS";"882";
"21.09.2016 15:35:12";"887";"273330163";"YEM";"ЙЕМЕН";"Йеменская Республика";"YE";"887";
"21.09.2016 15:35:12";"894";"273330164";"ZMB";"ЗАМБИЯ";"Республика Замбия";"ZM";"894";
"21.09.2016 15:35:36";"895";"273330165";"ABH";"АБХАЗИЯ";"Республика Абхазия";"AB";"895";
"21.09.2016 15:35:43";"896";"273330166";"OST";"ЮЖНАЯ ОСЕТИЯ";"Республика Южная Осетия";"OS";"896";
"21.09.2016 15:35:39";"004";"273330167";"AFG";"АФГАНИСТАН";"Переходное Исламское Государство Афганистан";"AF";"004";
"21.09.2016 15:36:49";"008";"273330168";"ALB";"АЛБАНИЯ";"Республика Албания";"AL";"008";
"21.09.2016 15:36:48";"010";"273330169";"ATA";"АНТАРКТИДА";"";"AQ";"010";
"21.09.2016 15:36:47";"012";"273330170";"DZA";"АЛЖИР";"Алжирская Народная Демократическая Республика";"DZ";"012";
"21.09.2016 15:36:47";"016";"273330171";"ASM";"АМЕРИКАНСКОЕ САМОА";"";"AS";"016";
"21.09.2016 15:36:46";"020";"273330172";"AND";"АНДОРРА";"Княжество Андорра";"AD";"020";
"21.09.2016 15:37:47";"024";"273330173";"AGO";"АНГОЛА";"Республика Ангола";"AO";"024";
"21.09.2016 15:37:47";"028";"273330174";"ATG";"АНТИГУА И БАРБУДА";"";"AG";"028";
"21.09.2016 15:37:48";"031";"273330175";"AZE";"АЗЕРБАЙДЖАН";"Республика Азербайджан";"AZ";"031";
"21.09.2016 15:37:49";"032";"273330176";"ARG";"АРГЕНТИНА";"Аргентинская Республика";"AR";"032";
"21.09.2016 15:37:50";"036";"273330177";"AUS";"АВСТРАЛИЯ";"";"AU";"036";
"21.09.2016 15:37:51";"044";"273330178";"BHS";"БАГАМЫ";"Содружество Багамы";"BS";"044";
"21.09.2016 15:37:51";"048";"273330179";"BHR";"БАХРЕЙН";"Королевство Бахрейн";"BH";"048";
"21.09.2016 15:38:47";"050";"273330180";"BGD";"БАНГЛАДЕШ";"Народная Республика Бангладеш";"BD";"050";
"21.09.2016 15:38:47";"051";"273330181";"ARM";"АРМЕНИЯ";"Республика Армения";"AM";"051";
"21.09.2016 15:38:48";"052";"273330182";"BRB";"БАРБАДОС";"";"BB";"052";
"21.09.2016 15:38:50";"056";"273330183";"BEL";"БЕЛЬГИЯ";"Королевство Бельгии";"BE";"056";
"21.09.2016 15:38:50";"060";"273330184";"BMU";"БЕРМУДЫ";"";"BM";"060";
"21.09.2016 15:38:51";"064";"273330185";"BTN";"БУТАН";"Королевство Бутан";"BT";"064";
"21.09.2016 15:38:51";"068";"273330186";"BOL";"БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО";"Многонациональное Государство Боливия";"BO";"068";
"21.09.2016 15:39:56";"070";"273330187";"BIH";"БОСНИЯ И ГЕРЦЕГОВИНА";"";"BA";"070";
"21.09.2016 15:39:57";"072";"273330188";"BWA";"БОТСВАНА";"Республика Ботсвана";"BW";"072";
"21.09.2016 15:39:58";"074";"273330189";"BVT";"ОСТРОВ БУВЕ";"";"BV";"074";
